id,oai_id,value,order,file,verified,entry_type,has_attach,link_to_content
13956,oai:www.wbc.poznan.pl:50805,biały tydzień kałamański (reklama),last_page,0162.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/50805
13988,oai:www.wbc.poznan.pl:51994,antysemityzm,first_page,0883.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/51994
13989,oai:www.wbc.poznan.pl:51994,san salvador,first_page,0883.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/51994
13990,oai:www.wbc.poznan.pl:51994,hiszpania,first_page,0883.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/51994
13991,oai:www.wbc.poznan.pl:51849,pomyłka (nowela),other_page,0347.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/51849
13992,oai:www.wbc.poznan.pl:51849,wystawa rolnicza w wyrzysku,other_page,0347.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/51849
13993,oai:www.wbc.poznan.pl:51849,zaniemyśl,other_page,0347.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/51849
13994,oai:www.wbc.poznan.pl:47631,kobiety zbytku (powieść),other_page,1207.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/47631
13995,oai:www.wbc.poznan.pl:47631,hellen zenna smith,other_page,1207.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/47631
13996,oai:www.wbc.poznan.pl:47631,fałszerz karty rowerowej,other_page,1207.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/47631
13997,oai:www.wbc.poznan.pl:47631,wypadek z bronią,other_page,1207.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/47631
13998,oai:www.wbc.poznan.pl:47631,burmistrz wrócił z urlopu,other_page,1207.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/47631
13999,oai:www.wbc.poznan.pl:47631,bogaty żebrak,other_page,1207.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/47631
14000,oai:www.wbc.poznan.pl:50728,rozwód za pobraniem,other_page,0057.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/50728
14001,oai:www.wbc.poznan.pl:50728,75-ta rocznica powstania styczniowego,other_page,0057.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/50728
14004,oai:www.wbc.poznan.pl:73442,strzecha podhalańska,last_page,438_0001.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/73442
14007,oai:www.wbc.poznan.pl:73442,podziemne muzeum na placu katedralnym,last_page,438_0001.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/73442
14009,oai:www.wbc.poznan.pl:73442,biskupin,last_page,438_0001.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/73442
14031,oai:www.wbc.poznan.pl:51227,najlepszy aktor świata,other_page,0664.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/51227
14032,oai:www.wbc.poznan.pl:51227,Doris Weston,other_page,0664.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/51227
14033,oai:www.wbc.poznan.pl:51227,przemysł filmowy w USA,other_page,0664.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/51227
14034,oai:www.wbc.poznan.pl:51227,brawura (powieść filmowa),other_page,0664.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/51227
14036,oai:www.wbc.poznan.pl:51227,pani pustynnych szlaków (powieść),other_page,0661.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/51227
14037,oai:www.wbc.poznan.pl:51227,linia lotnicza wokół ziemi,other_page,0661.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/51227
14038,oai:www.wbc.poznan.pl:51227,stosunki polsko - niemieckie,other_page,0661.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/51227
14039,oai:www.wbc.poznan.pl:51227,spadochroniarstwo,other_page,0661.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/51227
14040,oai:www.wbc.poznan.pl:51227,leopold staff w poznaniu,last_page,0665.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/51227
14041,oai:www.wbc.poznan.pl:51227,prof Foady,last_page,0665.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/51227
14042,oai:www.wbc.poznan.pl:51227,koncerty w zoo,last_page,0665.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/51227
14070,oai:www.wbc.poznan.pl:51227,kałamajski (reklama),last_page,0665.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/51227
14099,oai:www.wbc.poznan.pl:51276,wyścig kolarski warszawa - berlin,last_page,0720.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/51276
14100,oai:www.wbc.poznan.pl:51937,18 rocznica odzyskania niepodległości,last_page,0676.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/51937
14101,oai:www.wbc.poznan.pl:51937,materiały prążkowane (reklama),last_page,0676.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/51937
14102,oai:www.wbc.poznan.pl:51937,Gabrielli w Poznaniu,last_page,0676.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/51937
14103,oai:www.wbc.poznan.pl:51937,tańszy chleb,last_page,0676.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/51937
14120,oai:www.wbc.poznan.pl:51642,antysemityzm,last_page,0116.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/51642
14121,oai:www.wbc.poznan.pl:51642,samolot ze swastyką,last_page,0116.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/51642
14122,oai:www.wbc.poznan.pl:51642,styl Piłsudskiego,last_page,0116.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/51642
14141,oai:www.wbc.poznan.pl:51862,palce paderewskiego,other_page,0404.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/51862
14142,oai:www.wbc.poznan.pl:51862,sonata księżycowa,other_page,0404.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/51862
14143,oai:www.wbc.poznan.pl:51862,uczymy się nowej pisowni (rubryka),other_page,0404.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/51862
14144,oai:www.wbc.poznan.pl:51862,zagadka starej kamiennicy (powieść),other_page,0404.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/51862
14146,oai:www.wbc.poznan.pl:47773,ofiara dla ojczyzny (ilustracja),first_page,1479.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/47773
14147,oai:www.wbc.poznan.pl:47773,stado fok w zatoce puckiej,first_page,1479.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/47773
14148,oai:www.wbc.poznan.pl:47773,Gdańszczanie w armii niemieckiej,first_page,1479.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/47773
14149,oai:www.wbc.poznan.pl:47773,wolny handel,first_page,1479.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/47773
14150,oai:www.wbc.poznan.pl:47773,redukcja mężatek,first_page,1479.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/47773
14151,oai:www.wbc.poznan.pl:47661,najmłodszy most na dunaju (ilustracja),first_page,1281.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/47661
14152,oai:www.wbc.poznan.pl:47661,rozmowa telefoniczna z balonem (ilustracja),first_page,1281.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/47661
14153,oai:www.wbc.poznan.pl:47661,błękitny ptak,first_page,1281.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/47661
