id,oai_id,value,order,file,verified,entry_type,has_attach,display_name,link_to_content
717,oai:www.wbc.poznan.pl:46356,focha,last_page,452.djvu,1,1,FALSE,ul. focha,https://www.wbc.poznan.pl/dlibra/publication/edition/46356
7170,oai:www.wbc.poznan.pl:46168,wolności,other_page,176.djvu,5,1,FALSE,pl. wolności,https://www.wbc.poznan.pl/dlibra/publication/edition/46168
7171,oai:www.wbc.poznan.pl:46168,27 grudnia,other_page,178.djvu,5,1,FALSE,ul. 27 grudnia,https://www.wbc.poznan.pl/dlibra/publication/edition/46168
7172,oai:www.wbc.poznan.pl:46168,nowa,first_page,175.djvu,5,1,FALSE,ul. nowa,https://www.wbc.poznan.pl/dlibra/publication/edition/46168
7188,oai:www.wbc.poznan.pl:51939,śniadeckich,last_page,0690.djvu,5,1,FALSE,ul. śniadeckich,https://www.wbc.poznan.pl/dlibra/publication/edition/51939
719,oai:www.wbc.poznan.pl:46356,szyperska,last_page,452.djvu,1,1,FALSE,ul. szyperska,https://www.wbc.poznan.pl/dlibra/publication/edition/46356
72,oai:www.wbc.poznan.pl:46608,skośna,last_page,0042.djvu,1,1,FALSE,ul. skośna,https://www.wbc.poznan.pl/dlibra/publication/edition/46608
720,oai:www.wbc.poznan.pl:46356,fredry,other_page,451.djvu,5,1,FALSE,ul. fredry,https://www.wbc.poznan.pl/dlibra/publication/edition/46356
7205,oai:www.wbc.poznan.pl:51830,działowy,last_page,0282.djvu,5,1,FALSE,pl. działowy,https://www.wbc.poznan.pl/dlibra/publication/edition/51830
7206,oai:www.wbc.poznan.pl:51830,działowy,last_page,0282.djvu,5,1,FALSE,pl. działowy,https://www.wbc.poznan.pl/dlibra/publication/edition/51830
721,oai:www.wbc.poznan.pl:46356,wolności,other_page,451.djvu,5,1,FALSE,pl. wolności,https://www.wbc.poznan.pl/dlibra/publication/edition/46356
7215,oai:www.wbc.poznan.pl:47312,kopernika,other_page,1037.djvu,5,1,FALSE,ul. kopernika,https://www.wbc.poznan.pl/dlibra/publication/edition/47312
7217,oai:www.wbc.poznan.pl:47312,śniadeckich,other_page,1038.djvu,5,1,FALSE,ul. śniadeckich,https://www.wbc.poznan.pl/dlibra/publication/edition/47312
